id,author
1004.2287v1,Onureena Banerjee
1004.2287v1,Gregoire Rey
1004.2287v1,Eric Jougla
1004.2287v1,Joel Coste
1004.2304v1,Patrick L. Harrington Jr.
1004.2304v1,Alfred O. Hero III
1004.2468v1,Madalin Guta
1004.2468v1,Wojciech Kotlowski
1004.3101v1,Vladimir Nikulin
1004.3101v1,Geoffrey J. McLachlan
1004.4668v3,Nick S. Jones
1004.4668v3,John Moriarty
1004.4965v1,Mikhail Zaslavskiy
1004.4965v1,Francis Bach
1004.4965v1,Jean-Philippe Vert
1004.5031v1,Amparo Baíllo
1004.5031v1,Juan Antonio Cuesta-Albertos
1004.5031v1,Antonio Cuevas
1004.5194v1,Daniil Ryabko
1004.5229v3,Sarah Filippi
1004.5229v3,Olivier Cappé
1004.5229v3,Aurélien Garivier
1004.5265v3,Ricardo Henao
1004.5265v3,Ole Winther
1005.0063v2,Manas A. Pathak
1005.0063v2,Bhiksha Raj
1005.0188v1,Nishant A. Mehta
1005.0188v1,Alexander G. Gray
1005.0208v3,Gérard Biau
1005.0437v1,Marius Kloft
1005.0437v1,Ulrich Rückert
1005.0437v1,Peter L. Bartlett
1005.0530v1,Mohak Shah
1005.0530v1,Mario Marchand
1005.0530v1,Jacques Corbeil
1005.0766v2,Vincent Y. F. Tan
1005.0766v2,Animashree Anandkumar
1005.0766v2,Alan S. Willsky
1005.0794v1,Xiaoran Yan
1005.0794v1,Yaojia Zhu
1005.0794v1,Jean-Baptiste Rouquier
1005.0794v1,Cristopher Moore
1005.0826v2,Daniil Ryabko
1005.0928v2,Antti Airola
1005.0928v2,Tapio Pahikkala
1005.0928v2,Tapio Salakoski
1005.1036v3,Marco Scutari
1005.1036v3,Korbinian Strimmer
1005.1440v1,Javier Rojo
1005.1440v1,Tuan Nguyen
1005.1593v2,Guido Montufar
1005.1593v2,Nihat Ay
1005.2012v3,John Duchi
1005.2012v3,Alekh Agarwal
1005.2012v3,Martin Wainwright
1005.2238v1,Gareth W. Peters
1005.2238v1,Geoff R. Hosack
1005.2238v1,Keith R. Hayes
1005.2263v2,Christos Dimitrakakis
1005.2638v1,Fionn Murtagh
1005.2638v1,Pedro Contreras
1005.3014v2,Nathanael L. Ackerman
1005.3014v2,Cameron E. Freer
1005.3014v2,Daniel M. Roy
1005.3579v1,Xi Chen
1005.3579v1,Seyoung Kim
1005.3579v1,Qihang Lin
1005.3579v1,Jaime G. Carbonell
1005.3579v1,Eric P. Xing
1005.4006v2,Daniel M. Dunlavy
1005.4006v2,Tamara G. Kolda
1005.4006v2,Evrim Acar
1005.4214v2,Marco Scutari
1005.4717v4,Xi Chen
1005.4717v4,Qihang Lin
1005.4717v4,Seyoung Kim
1005.4717v4,Jaime G. Carbonell
1005.4717v4,Eric P. Xing
1005.5081v2,Luke Bornn
1005.5081v2,François Caron
1005.5337v1,Marten F. Byl
1005.5337v1,James T. Demers
1005.5337v1,Edward A. Rietman
1006.0234v3,Manuel Gomez-Rodriguez
1006.0234v3,Jure Leskovec
1006.0234v3,Andreas Krause
1006.0375v1,Joachim M. Buhmann
1006.0719v3,Waheed U. Bajwa
1006.0719v3,Robert Calderbank
1006.0719v3,Sina Jafarpour
1006.0849v1,Nick Fyson
1006.0849v1,Tijl De Bie
1006.0849v1,Nello Cristianini
1006.0868v2,Iain Murray
1006.0868v2,Ryan Prescott Adams
1006.1029v1,Andrej Kastrin
1006.1029v1,Borut Peterlin
1006.1029v1,Dimitar Hristovski
1006.1030v1,Andrej Kastrin
1006.1030v1,Borut Peterlin
1006.1062v1,Ryan Prescott Adams
1006.1062v1,Zoubin Ghahramani
1006.1062v1,Michael I. Jordan
1006.1138v3,Alexander Rakhlin
1006.1138v3,Karthik Sridharan
1006.1138v3,Ambuj Tewari
1006.1328v1,Jonathan Huang
1006.1328v1,Carlos Guestrin
1006.1343v1,Fionn Murtagh
1006.1343v1,Adam Ganz
1006.1346v2,Pablo Sprechmann
1006.1346v2,Ignacio Ramírez
1006.1346v2,Guillermo Sapiro
1006.1346v2,Yonina Eldar
1006.1350v2,Andrew Gordon Wilson
1006.1350v2,Zoubin Ghahramani
1006.1673v1,Animashree Anandkumar
1006.1673v1,Nithin Michael
1006.1673v1,Ao Kevin Tang
1006.1673v1,Ananthram Swami
1006.1746v1,Vianney Perchet
1006.1828v1,Dariusz Plewczynski
1006.2165v5,Marc Peter Deisenroth
1006.2165v5,Henrik Ohlsson
1006.2940v1,Zhou Fang
1006.2940v1,Nicolai Meinshausen
1006.3316v1,Han Liu
1006.3316v1,Kathryn Roeder
1006.3316v1,Larry Wasserman
1006.3640v2,Hannes Nickisch
1006.3640v2,Carl Edward Rasmussen
1006.3901v2,Fabian L. Wauthier
1006.3901v2,Michael I. Jordan
1006.3972v1,Han Liu
1006.3972v1,Xi Chen
1006.3972v1,John Lafferty
1006.3972v1,Larry Wasserman
1006.4046v2,Laura Balzano
1006.4046v2,Robert Nowak
