"title","author","genre","rating","img","numRater","type","price"
"The Alchemist","Paulo Coelho","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/415mwgZ7kSL._AC_UL200_SR200,200_.jpg","12311","Audible Audiobook"," Free with Audible trial"
"Willow Falls (Matt Bannister Western Book 1)","Ken Pratt","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/91OxLEFtJcL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","271","Kindle Edition","0.99"
"Becoming Supernatural","Dr. Joe Dispenza","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/B1S93g9NGrS._AC_UL200_SR200,200_.jpg","686","Audible Audiobook"," Free with Audible trial"
"How to Change Your Mind","Michael Pollan","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81zn1eo2loL._AC_UL200_SR200,200_.jpg","392","Audible Audiobook"," Free with Audible trial"
"A New Earth","Eckhart Tolle","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/51KWkRKSp9L._AC_UL200_SR200,200_.jpg","4124","Audible Audiobook"," Free with Audible trial"
"My Spiritual Journey","Dalai Lama","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/511b8l5S21L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","129","Kindle Edition","13.99"
"Spark Joy","Marie Kondo","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81KZfaBgDDL._AC_UL200_SR200,200_.jpg","1154","Hardcover","13.29"
"The Elephant in the Brain","Kevin Simler","Science & Math","4.1","https://images-na.ssl-images-amazon.com/images/I/81lRJOfs1oL._AC_UL200_SR200,200_.jpg","62","Audible Audiobook"," Free with Audible trial"
"12 Rules for Life","Jordan B. Peterson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/71rHUnSgIvL._AC_UL200_SR200,200_.jpg","4601","Audible Audiobook"," Free with Audible trial"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81tPEe0egBL._AC_UL200_SR200,200_.jpg","5630","Audible Audiobook"," Free with Audible trial"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/51q0y7jEqRL._AC_UL200_SR200,200_.jpg","25","Hardcover","16.2"
"Mama's Last Hug","Frans de Waal","Science & Math","5.0","https://images-na.ssl-images-amazon.com/images/I/81hfsq-9j3L._AC_UL200_SR200,200_.jpg","3","Hardcover","18.27"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71N3-FFSDxL._AC_UL200_SR200,200_.jpg","5630","Paperback","13.79"
"Thinking, Fast and Slow","Daniel Kahneman","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81ymtzgBD9L._AC_UL200_SR200,200_.jpg","3080","Audible Audiobook"," Free with Audible trial"
